Nome;Nome Completo;Criado em;Atualizado em;Linguagem Principal;Qtd PRs Válidos
freeCodeCamp;freeCodeCamp/freeCodeCamp;2014-12-24T17:49:19Z;2025-04-27T21:43:37Z;TypeScript;0
build-your-own-x;codecrafters-io/build-your-own-x;2018-05-09T12:03:18Z;2025-04-27T21:48:19Z;Markdown;0
awesome;sindresorhus/awesome;2014-07-11T13:42:37Z;2025-04-27T21:39:30Z;N/A;0
free-programming-books;EbookFoundation/free-programming-books;2013-10-11T06:50:37Z;2025-04-27T21:07:47Z;HTML;0
public-apis;public-apis/public-apis;2016-03-20T23:49:42Z;2025-04-27T21:08:18Z;Python;0
coding-interview-university;jwasham/coding-interview-university;2016-06-06T02:34:12Z;2025-04-27T21:44:22Z;N/A;0
developer-roadmap;kamranahmedse/developer-roadmap;2017-03-15T13:45:52Z;2025-04-27T21:49:38Z;TypeScript;0
system-design-primer;donnemartin/system-design-primer;2017-02-26T16:15:28Z;2025-04-27T21:26:41Z;Python;0
996.ICU;996icu/996.ICU;2019-03-26T07:31:14Z;2025-04-27T20:59:42Z;N/A;0
awesome-python;vinta/awesome-python;2014-06-27T21:00:06Z;2025-04-27T21:48:08Z;Python;0
react;facebook/react;2013-05-24T16:15:54Z;2025-04-27T21:23:13Z;JavaScript;0
awesome-selfhosted;awesome-selfhosted/awesome-selfhosted;2015-06-01T02:33:17Z;2025-04-27T21:29:10Z;N/A;0
project-based-learning;practical-tutorials/project-based-learning;2017-04-12T05:07:46Z;2025-04-27T21:46:11Z;N/A;0
vue;vuejs/vue;2013-07-29T03:24:51Z;2025-04-27T16:17:54Z;TypeScript;0
Python;TheAlgorithms/Python;2016-07-16T09:44:01Z;2025-04-27T21:31:01Z;Python;0
linux;torvalds/linux;2011-09-04T22:48:12Z;2025-04-27T21:49:53Z;C;0
javascript-algorithms;trekhleb/javascript-algorithms;2018-03-24T07:47:04Z;2025-04-27T21:08:36Z;JavaScript;0
tensorflow;tensorflow/tensorflow;2015-11-07T01:19:20Z;2025-04-27T21:47:47Z;C++;0
You-Dont-Know-JS;getify/You-Dont-Know-JS;2013-11-16T02:37:24Z;2025-04-27T21:05:01Z;N/A;0
CS-Notes;CyC2018/CS-Notes;2018-02-13T14:56:24Z;2025-04-27T15:59:37Z;N/A;0
computer-science;ossu/computer-science;2014-05-04T00:18:39Z;2025-04-27T21:45:12Z;HTML;0
ohmyzsh;ohmyzsh/ohmyzsh;2009-08-28T18:15:37Z;2025-04-27T21:48:59Z;Shell;0
AutoGPT;Significant-Gravitas/AutoGPT;2023-03-16T09:21:07Z;2025-04-27T21:49:45Z;Python;0
bootstrap;twbs/bootstrap;2011-07-29T21:19:00Z;2025-04-27T19:40:12Z;MDX;0
vscode;microsoft/vscode;2015-09-03T20:23:38Z;2025-04-27T21:26:53Z;TypeScript;0
flutter;flutter/flutter;2015-03-06T22:54:58Z;2025-04-27T21:26:40Z;Dart;0
the-book-of-secret-knowledge;trimstray/the-book-of-secret-knowledge;2018-06-23T10:43:14Z;2025-04-27T21:36:14Z;N/A;0
gitignore;github/gitignore;2010-11-08T20:17:14Z;2025-04-27T21:39:57Z;N/A;0
Python-100-Days;jackfrued/Python-100-Days;2018-03-01T16:05:52Z;2025-04-27T18:09:10Z;Jupyter Notebook;0
the-art-of-command-line;jlevy/the-art-of-command-line;2015-05-20T15:11:03Z;2025-04-27T21:01:03Z;N/A;0
stable-diffusion-webui;AUTOMATIC1111/stable-diffusion-webui;2022-08-22T14:05:26Z;2025-04-27T21:37:16Z;Python;0
JavaGuide;Snailclimb/JavaGuide;2018-05-07T13:27:00Z;2025-04-27T17:57:36Z;Java;0
javascript;airbnb/javascript;2012-11-01T23:13:50Z;2025-04-27T20:17:05Z;JavaScript;0
transformers;huggingface/transformers;2018-10-29T13:56:00Z;2025-04-27T20:49:11Z;Python;0
awesome-go;avelino/awesome-go;2014-07-06T13:42:15Z;2025-04-27T21:43:54Z;Go;0
ollama;ollama/ollama;2023-06-26T19:39:32Z;2025-04-27T21:35:21Z;Go;0
youtube-dl;ytdl-org/youtube-dl;2010-10-31T14:35:07Z;2025-04-27T20:40:53Z;Python;0
next.js;vercel/next.js;2016-10-05T23:32:51Z;2025-04-27T21:34:44Z;JavaScript;0
fucking-algorithm;labuladong/fucking-algorithm;2020-02-19T09:01:23Z;2025-04-27T21:50:06Z;Markdown;0
go;golang/go;2014-08-19T04:33:40Z;2025-04-27T19:47:10Z;Go;0
tech-interview-handbook;yangshun/tech-interview-handbook;2016-07-05T05:00:48Z;2025-04-27T21:19:04Z;TypeScript;0
awesome-chatgpt-prompts;f/awesome-chatgpt-prompts;2022-12-05T13:54:13Z;2025-04-27T20:47:43Z;JavaScript;0
30-seconds-of-code;Chalarangelo/30-seconds-of-code;2017-11-29T17:35:03Z;2025-04-27T17:28:31Z;JavaScript;0
react-native;facebook/react-native;2015-01-09T18:10:16Z;2025-04-27T19:02:27Z;C++;0
scrcpy;Genymobile/scrcpy;2017-11-21T18:00:27Z;2025-04-27T20:14:15Z;C;0
PowerToys;microsoft/PowerToys;2019-05-01T17:44:02Z;2025-04-27T21:39:20Z;C#;0
electron;electron/electron;2013-04-12T01:47:36Z;2025-04-27T19:53:33Z;C++;0
kubernetes;kubernetes/kubernetes;2014-06-06T22:56:04Z;2025-04-27T21:38:46Z;Go;0
free-programming-books-zh_CN;justjavac/free-programming-books-zh_CN;2013-11-04T01:59:19Z;2025-04-27T16:20:24Z;N/A;0
hello-algo;krahets/hello-algo;2022-11-04T11:08:34Z;2025-04-27T18:10:58Z;Java;0
node;nodejs/node;2014-11-26T19:57:11Z;2025-04-27T21:43:36Z;JavaScript;0
d3;d3/d3;2010-09-27T17:22:42Z;2025-04-27T21:29:06Z;Shell;0
yt-dlp;yt-dlp/yt-dlp;2020-10-26T04:22:55Z;2025-04-27T21:48:23Z;Python;0
axios;axios/axios;2014-08-18T22:30:27Z;2025-04-27T19:27:18Z;JavaScript;0
langchain;langchain-ai/langchain;2022-10-17T02:58:36Z;2025-04-27T20:37:42Z;Jupyter Notebook;0
three.js;mrdoob/three.js;2010-03-23T18:58:01Z;2025-04-27T21:32:39Z;JavaScript;0
TypeScript;microsoft/TypeScript;2014-06-17T15:28:39Z;2025-04-27T21:30:49Z;TypeScript;0
create-react-app;facebook/create-react-app;2016-07-17T14:55:11Z;2025-04-27T21:21:00Z;JavaScript;0
rust;rust-lang/rust;2010-06-16T20:39:03Z;2025-04-27T21:08:10Z;Rust;0
deno;denoland/deno;2018-05-15T01:34:26Z;2025-04-27T18:01:51Z;Rust;0
nodebestpractices;goldbergyoni/nodebestpractices;2017-09-15T08:33:19Z;2025-04-27T21:08:44Z;Dockerfile;0
excalidraw;excalidraw/excalidraw;2020-01-02T01:04:43Z;2025-04-27T20:55:29Z;TypeScript;0
terminal;microsoft/terminal;2017-08-11T18:38:22Z;2025-04-27T21:36:41Z;C++;0
angular;angular/angular;2014-09-18T16:12:01Z;2025-04-27T18:40:46Z;TypeScript;0
godot;godotengine/godot;2014-01-04T16:05:36Z;2025-04-27T20:53:04Z;C++;0
DeepSeek-V3;deepseek-ai/DeepSeek-V3;2024-12-26T09:52:40Z;2025-04-27T20:51:07Z;Python;0
material-ui;mui/material-ui;2014-08-18T19:11:54Z;2025-04-27T21:20:02Z;TypeScript;0
free-for-dev;ripienaar/free-for-dev;2015-03-18T21:06:26Z;2025-04-27T21:09:04Z;HTML;0
dify;langgenius/dify;2023-04-12T07:40:24Z;2025-04-27T21:38:33Z;TypeScript;0
ant-design;ant-design/ant-design;2015-04-24T15:37:24Z;2025-04-27T21:20:06Z;TypeScript;0
frp;fatedier/frp;2015-12-21T15:24:59Z;2025-04-27T20:20:38Z;Go;0
clean-code-javascript;ryanmcdermott/clean-code-javascript;2016-11-25T22:25:41Z;2025-04-27T21:09:00Z;JavaScript;0
iptv;iptv-org/iptv;2018-11-14T22:00:57Z;2025-04-27T20:57:54Z;TypeScript;0
papers-we-love;papers-we-love/papers-we-love;2013-12-15T14:31:41Z;2025-04-27T19:58:31Z;Shell;0
tauri;tauri-apps/tauri;2019-07-13T09:09:37Z;2025-04-27T21:02:23Z;Rust;0
Awesome-Hacking;Hack-with-Github/Awesome-Hacking;2016-03-30T15:47:10Z;2025-04-27T21:25:32Z;N/A;0
thefuck;nvbn/thefuck;2015-04-08T15:08:04Z;2025-04-27T17:00:46Z;Python;0
open-webui;open-webui/open-webui;2023-10-06T22:08:27Z;2025-04-27T21:48:19Z;JavaScript;0
java-design-patterns;iluwatar/java-design-patterns;2014-08-09T16:45:18Z;2025-04-27T20:01:55Z;Java;0
puppeteer;puppeteer/puppeteer;2017-05-09T22:16:13Z;2025-04-27T20:31:07Z;TypeScript;0
pytorch;pytorch/pytorch;2016-08-13T05:26:41Z;2025-04-27T21:18:47Z;Python;0
vue-element-admin;PanJiaChen/vue-element-admin;2017-04-17T03:35:49Z;2025-04-27T20:59:50Z;Vue;0
neovim;neovim/neovim;2014-01-31T13:39:22Z;2025-04-27T20:47:19Z;Vim Script;0
Web-Dev-For-Beginners;microsoft/Web-Dev-For-Beginners;2020-11-10T02:44:00Z;2025-04-27T20:51:11Z;JavaScript;0
rustdesk;rustdesk/rustdesk;2020-09-28T15:36:08Z;2025-04-27T20:05:37Z;Rust;0
tailwindcss;tailwindlabs/tailwindcss;2017-10-06T14:59:14Z;2025-04-27T20:34:16Z;TypeScript;0
every-programmer-should-know;mtdvio/every-programmer-should-know;2017-08-24T13:18:26Z;2025-04-27T20:18:26Z;N/A;0
n8n;n8n-io/n8n;2019-06-22T09:24:21Z;2025-04-27T21:46:03Z;TypeScript;0
storybook;storybookjs/storybook;2016-03-18T04:23:44Z;2025-04-27T21:08:54Z;TypeScript;0
ui;shadcn-ui/ui;2023-01-04T12:43:27Z;2025-04-27T21:19:18Z;TypeScript;0
nvm;nvm-sh/nvm;2010-04-15T17:47:47Z;2025-04-27T20:04:26Z;Shell;0
fastapi;fastapi/fastapi;2018-12-08T08:21:47Z;2025-04-27T20:40:18Z;Python;0
django;django/django;2012-04-28T02:47:18Z;2025-04-27T20:08:55Z;Python;0
bitcoin;bitcoin/bitcoin;2010-12-19T15:16:43Z;2025-04-27T19:24:31Z;C++;0
NextChat;ChatGPTNextWeb/NextChat;2023-03-10T18:27:54Z;2025-04-27T18:50:44Z;TypeScript;0
app-ideas;florinpop17/app-ideas;2019-02-25T18:36:56Z;2025-04-27T20:01:17Z;N/A;0
svelte;sveltejs/svelte;2016-11-20T18:13:05Z;2025-04-27T21:17:54Z;JavaScript;0
awesome-mac;jaywcjlove/awesome-mac;2016-07-17T15:33:47Z;2025-04-27T21:26:22Z;JavaScript;0
gin;gin-gonic/gin;2014-06-16T23:57:25Z;2025-04-27T20:59:56Z;Go;0
opencv;opencv/opencv;2012-07-19T09:40:17Z;2025-04-27T20:20:54Z;C++;0
animate.css;animate-css/animate.css;2011-10-12T10:07:38Z;2025-04-27T16:39:17Z;CSS;0
supabase;supabase/supabase;2019-10-12T05:56:49Z;2025-04-27T21:14:15Z;TypeScript;0
realworld;gothinkster/realworld;2016-02-26T20:49:53Z;2025-04-27T21:08:50Z;TypeScript;0
HowToCook;Anduin2017/HowToCook;2020-02-29T10:43:49Z;2025-04-27T21:01:22Z;Dockerfile;0
whisper;openai/whisper;2022-09-16T20:02:54Z;2025-04-27T21:08:57Z;Python;0
laravel;laravel/laravel;2011-06-08T03:06:08Z;2025-04-27T20:26:51Z;Blade;0
generative-ai-for-beginners;microsoft/generative-ai-for-beginners;2023-06-19T16:28:59Z;2025-04-27T21:44:49Z;Jupyter Notebook;0
hugo;gohugoio/hugo;2013-07-04T15:26:26Z;2025-04-27T21:53:09Z;Go;0
mall;macrozheng/mall;2018-04-04T01:11:44Z;2025-04-27T15:19:44Z;Java;0
llama.cpp;ggml-org/llama.cpp;2023-03-10T18:58:00Z;2025-04-27T21:50:26Z;C++;0
FiraCode;tonsky/FiraCode;2014-11-11T19:32:38Z;2025-04-27T20:39:31Z;Clojure;0
v2rayN;2dust/v2rayN;2019-07-30T03:47:24Z;2025-04-27T21:48:42Z;C#;0
mermaid;mermaid-js/mermaid;2014-11-01T23:52:32Z;2025-04-27T21:33:18Z;TypeScript;0
core;home-assistant/core;2013-09-17T07:29:48Z;2025-04-27T21:50:50Z;Python;0
bun;oven-sh/bun;2021-04-14T00:48:17Z;2025-04-27T16:25:30Z;Zig;0
advanced-java;doocs/advanced-java;2018-10-06T11:38:30Z;2025-04-27T19:42:35Z;Java;0
models;tensorflow/models;2016-02-05T01:15:20Z;2025-04-27T19:53:12Z;Python;0
manim;3b1b/manim;2015-03-22T18:50:58Z;2025-04-27T20:45:36Z;Python;0
spring-boot;spring-projects/spring-boot;2012-10-19T15:02:57Z;2025-04-27T19:15:32Z;Java;0
ComfyUI;comfyanonymous/ComfyUI;2023-01-17T03:15:56Z;2025-04-27T21:23:01Z;Python;0
Font-Awesome;FortAwesome/Font-Awesome;2012-02-17T14:19:43Z;2025-04-27T21:19:50Z;JavaScript;0
devops-exercises;bregman-arie/devops-exercises;2019-10-03T17:31:21Z;2025-04-27T21:53:35Z;Python;0
awesome-interview-questions;DopplerHQ/awesome-interview-questions;2015-11-28T09:48:17Z;2025-04-27T21:14:15Z;N/A;0
netdata;netdata/netdata;2013-06-17T18:39:10Z;2025-04-27T20:21:22Z;C;0
json-server;typicode/json-server;2013-11-27T13:21:13Z;2025-04-27T19:14:44Z;JavaScript;0
awesome-for-beginners;MunGell/awesome-for-beginners;2015-10-24T19:53:36Z;2025-04-27T21:09:17Z;N/A;0
gpt4all;nomic-ai/gpt4all;2023-03-27T18:49:32Z;2025-04-27T17:27:59Z;C++;0
awesome-vue;vuejs/awesome-vue;2015-10-20T00:16:14Z;2025-04-27T17:53:20Z;N/A;0
github-readme-stats;anuraghazra/github-readme-stats;2020-07-09T10:34:22Z;2025-04-27T21:05:05Z;JavaScript;0
elasticsearch;elastic/elasticsearch;2010-02-08T13:20:56Z;2025-04-27T14:10:52Z;Java;0
vite;vitejs/vite;2020-04-21T05:03:57Z;2025-04-27T21:27:23Z;TypeScript;0
playwright;microsoft/playwright;2019-11-15T18:32:42Z;2025-04-27T21:05:21Z;TypeScript;0
ML-For-Beginners;microsoft/ML-For-Beginners;2021-03-03T01:34:05Z;2025-04-27T20:51:43Z;HTML;0
hoppscotch;hoppscotch/hoppscotch;2019-08-21T13:15:24Z;2025-04-27T19:05:24Z;TypeScript;0
code-server;coder/code-server;2019-02-27T16:50:41Z;2025-04-27T21:21:12Z;TypeScript;0
nest;nestjs/nest;2017-02-04T20:12:52Z;2025-04-27T14:20:10Z;TypeScript;0
Front-End-Checklist;thedaviddias/Front-End-Checklist;2017-10-16T10:12:36Z;2025-04-27T17:45:23Z;N/A;0
